index,School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
19,Beloit,Buccaneers,"Beloit, WI",MWC,5.0,Turf,1320.0,Beloit,https://beloitcollegeathletics.com//sports/football/schedule/2021,https://beloitcollegeathletics.com//sports/football/schedule/2022
20,Benedictine,Eagles,"Lisle, IL",NACC,5.0,Turf,2465.0,Benedictine (IL),http://www.benueagles.com//sports/football/schedule/2021,http://www.benueagles.com//sports/football/schedule/2022
21,Berry,Vikings,"Mount Berry, GA",SAA,3.0,Turf,1942.0,Berry College,http://www.berryvikings.com/sports/football/schedule/2021,http://www.berryvikings.com/sports/football/schedule/2022
22,Bethany,Bison,"Bethany, WV",PAC,2.0,Turf,501.0,Bethany,http://bethanybison.com/sports/fball/2021-22/schedule,http://bethanybison.com/sports/fball/2022-23/schedule
23,Bethel,Royals,"Arden Hills, MN",MIAC,6.0,Turf,2248.0,Bethel (MN),http://athletics.bethel.edu/sports/football/schedule/2021,http://athletics.bethel.edu/sports/football/schedule/2022
24,Birmingham-Southern,Panthers,"Birmingham, AL",SAA,3.0,Turf,1199.0,Birmingham-So.,https://bscsports.net/sports/football/schedule/2021,https://bscsports.net/sports/football/schedule/2022
25,Bluffton,Beavers,"Bluffton, OH",HCAC,4.0,Turf,605.0,Bluffton,http://blufftonbeavers.com/sports/fball/2021-22/schedule,http://blufftonbeavers.com/sports/fball/2022-23/schedule
26,Bowdoin,Polar Bears,"Brunswick, ME",NESCAC,1.0,Turf,1797.0,Bowdoin,http://athletics.bowdoin.edu/sports/football/schedule/2021,http://athletics.bowdoin.edu/sports/football/schedule/2022
27,Brevard,Tornados,"Brevard, NC",USAC,3.0,Turf,713.0,Brevard,http://www.bctornados.com//sports/fball/2021-22/schedule,http://www.bctornados.com//sports/fball/2022-23/schedule
28,Bridgewater State,Bears,"Bridgewater, MA",MASCAC,1.0,Turf,7959.0,Bridgewater St.,http://www.bsubears.com/sports/fball/2021-22/schedule,http://www.bsubears.com/sports/fball/2022-23/schedule
29,Bridgewater,Eagles,"Bridgewater, VA",ODAC,3.0,Turf,1868.0,Bridgewater,http://www.bridgewatereagles.com/sports/football/schedule/2021,http://www.bridgewatereagles.com/sports/football/schedule/2022
30,Brockport,Golden Eagles,"Brockport, NY",E8,2.0,Turf,6304.0,Brockport St.,http://www.gobrockport.com/sports/football/schedule/2021,http://www.gobrockport.com/sports/football/schedule/2022
31,Buena Vista,Beavers,"Storm Lake, IA",ARC,5.0,Turf,1873.0,Buena Vista,http://bvuathletics.com//sports/football/schedule/2021,http://bvuathletics.com//sports/football/schedule/2022
