Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,NFS Team Code,NCAA ID,ID,Institution
,,,,,,,,,506300.0,Florida Col.
,,,,,,,,,28755.0,FGCU
,,,,,,,,,501725.0,Fla. Memorial
,,,,,,,,,506479.0,Fla. National
,,,,,,,,,233.0,Fla. Southern
,,,,,,,,,11538.0,Fontbonne
,,,,,,,,,501752.0,Fort Lauderdale
,,,,,,,,,1085.0,Francis Marion
,,,,,,,,,30069.0,Franciscan
,,,,,,,,,241.0,Franklin Pierce
,,,,,,,,,506454.0,Fraser Valley (CAN)
,,,,,,,,,242.0,Fredonia
,,,,,,,,,501810.0,Freed-Hardeman
,,,,,,,,,30147.0,Fresno Pacific
,,,,,,,,,247.0,SUNY Geneseo
,,,,,,,,,248.0,George Mason
,,,,,,,,,249.0,George Washington
,,,,,,,,,1096.0,Georgia College
,,,,,,,,,506449.0,Georgia Gwinnett
,,,,,,,,,1097.0,Ga. Southwestern
,,,,,,,,,9004.0,Georgian Court
,,,,,,,,,8366.0,Goldey-Beacom
,,,,,,,,,260.0,Gonzaga
,,,,,,,,,1099.0,Gordon
,,,,,,,,,501955.0,Goshen
,,,,,,,,,1467.0,Goucher
,,,,,,,,,506495.0,Governors St.
,,,,,,,,,501960.0,Grace (IN)
,,,,,,,,,501962.0,Grace (NE)
,,,,,,,,,501961.0,Grace Christian (MI)
,,,,,,,,,506062.0,Graceland (IA)
,,,,,,,,,1104.0,Grand Canyon
,,,,,,,,,501987.0,Great Lake Christian
,,,,,,,,,506437.0,Guelph (CAN)
,,,,,,,,,12399.0,Gwynedd Mercy
,,,,,,,,,502043.0,Hannibal-La Grange
,,,,,,,,,502060.0,Harris-Stowe
,,,,,,,,,272.0,Hartford
,,,,,,,,,506007.0,Hastings
,,,,,,,,,276.0,Haverford
,,,,,,,,,2697.0,Hawaii Hilo
,,,,,,,,,2696.0,Hawaii Pacific
,,,,,,,,,19651.0,High Point
,,,,,,,,,8398.0,Hilbert
,,,,,,,,,283.0,Hofstra
,,,,,,,,,284.0,Hollins
,,,,,,,,,506345.0,Holy Cross (IN)
,,,,,,,,,1126.0,Holy Family
,,,,,,,,,504805.0,Holy Fam. Col. (WI)
,,,,,,,,,8404.0,Hood
,,,,,,,,,504017.0,Hope Int'l
,,,,,,,,,30160.0,Houghton
,,,,,,,,,506338.0,Houston-Victoria
,,,,,,,,,506492.0,Humber (CAN)
,,,,,,,,,292.0,Hunter
,,,,,,,,,502195.0,Huntington
,,,,,,,,,502215.0,Huston-Tillotson
,,,,,,,,,30172.0,IIT
,,,,,,,,,302.0,UIC
,,,,,,,,,30050.0,Ill. Springfield
,,,,,,,,,303.0,Immaculata
,,,,,,,,,502288.0,Ind.-East
,,,,,,,,,502278.0,Ind.-Kokomo
,,,,,,,,,502290.0,Ind.-Northwest
,,,,,,,,,502302.0,Ind.-South Bend
,,,,,,,,,502300.0,Ind.-Southeast
,,,,,,,,,502330.0,Indiana Tech
,,,,,,,,,502332.0,Ind. Wesleyan
,,,,,,,,,2699.0,IUPUI
,,,,,,,,,502335.0,Int. Am.-San German
,,,,,,,,,310.0,Iona
,,,,,,,,,506037.0,Iowa Wesleyan
,,,,,,,,,502279.0,IUPUC
,,,,,,,,,506004.0,Jarvis Christian
,,,,,,,,,30262.0,Jessup
,,,,,,,,,502395.0,John Brown
,,,,,,,,,321.0,John Jay
,,,,,,,,,506488.0,John Wesley
,,,,,,,,,22626.0,JWU (Providence)
,,,,,,,,,501712.0,Johnson (FL)
,,,,,,,,,502420.0,Johnson (TN)
,,,,,,,,,502441.0,Judson (AL)
,,,,,,,,,502440.0,Judson (IL)
,,,,,,,,,506375.0,JWU (Charlotte)
,,,,,,,,,506232.0,JWU (North Miami)
,,,,,,,,,506566.0,Justice Col.
,,,,,,,,,506254.0,Kansas Christian
,,,,,,,,,330.0,Keene St.
,,,,,,,,,506200.0,Keiser
,,,,,,,,,506423.0,Kent St.-Tuscarawas
,,,,,,,,,1159.0,Keuka
,,,,,,,,,506564.0,Keyano (CAN)
,,,,,,,,,30047.0,Keystone
,,,,,,,,,30051.0,King (TN)
,,,,,,,,,502530.0,King's (NY)
,,,,,,,,,506500.0,King's U. (CAN)
,,,,,,,,,506334.0,Kuyper
,,,,,,,,,506435.0,Kwantlen Tech (CAN)
,,,,,,,,,1163.0,La Roche
,,,,,,,,,340.0,La Salle
,,,,,,,,,502567.0,La Sierra
,,,,,,,,,345.0,Lake Superior St.
,,,,,,,,,506152.0,Lakehead (CAN)
,,,,,,,,,506477.0,Lambton (CAN)
,,,,,,,,,30085.0,Lancaster Bible
,,,,,,,,,1167.0,Lander
,,,,,,,,,506491.0,Landmark Col.
,,,,,,,,,506507.0,Langara (CAN)
,,,,,,,,,8486.0,Lasell
,,,,,,,,,506404.0,Lawrence Tech
,,,,,,,,,349.0,Le Moyne
,,,,,,,,,30013.0,Lee
,,,,,,,,,13302.0,Lees-McRae
,,,,,,,,,279.0,Lehman
,,,,,,,,,350.0,LeMoyne-Owen
,,,,,,,,,24317.0,Lesley
,,,,,,,,,506429.0,Lethbridge (CAN)
,,,,,,,,,8490.0,LeTourneau
,,,,,,,,,354.0,Lewis
,,,,,,,,,506318.0,Lewis-Clark St.
,,,,,,,,,502694.0,Life (GA)
,,,,,,,,,502695.0,LIFE Pacific
,,,,,,,,,506551.0,Lincoln (CA)
,,,,,,,,,506532.0,Lincoln (IL)
,,,,,,,,,1176.0,Lincoln Memorial
,,,,,,,,,28600.0,Lipscomb
,,,,,,,,,99.0,Long Beach St.
,,,,,,,,,361.0,LIU
,,,,,,,,,363.0,Longwood
,,,,,,,,,506339.0,LSU-Alexandria
,,,,,,,,,502787.0,LSU-Shreveport
,,,,,,,,,506385.0,Lourdes
,,,,,,,,,502812.0,Loyola (LA)
,,,,,,,,,370.0,LMU (CA)
,,,,,,,,,371.0,Loyola Chicago
,,,,,,,,,369.0,Loyola Maryland
,,,,,,,,,30177.0,Lubbock Christian
,,,,,,,,,374.0,Lynchburg
,,,,,,,,,20794.0,Lynn
,,,,,,,,,22989.0,Lyon
,,,,,,,,,506553.0,La. Christian
,,,,,,,,,502867.0,Madonna
,,,,,,,,,502877.0,Me.-Augusta
,,,,,,,,,502885.0,Me.-Fort Kent
,,,,,,,,,502890.0,Me.-Machias
,,,,,,,,,379.0,Me.-Farmington
,,,,,,,,,30040.0,Me.-Presque Isle
,,,,,,,,,381.0,Manhattan
,,,,,,,,,502922.0,Manhattan Chrst.
,,,,,,,,,382.0,Manhattanville
,,,,,,,,,506363.0,Manitoba (CAN)
,,,,,,,,,384.0,Mansfield
,,,,,,,,,1196.0,Marian (WI)
,,,,,,,,,387.0,Marquette
,,,,,,,,,389.0,Mary Baldwin
,,,,,,,,,390.0,Mary Washington
,,,,,,,,,505182.0,Marycrest Int'l
,,,,,,,,,393.0,UMES
,,,,,,,,,391.0,UMBC
,,,,,,,,,506383.0,Marymount (CA)
,,,,,,,,,394.0,Marymount (VA)
,,,,,,,,,395.0,Maryville (MO)
,,,,,,,,,397.0,Marywood
,,,,,,,,,486.0,MCLA
,,,,,,,,,401.0,UMass Boston
,,,,,,,,,368.0,UMass Lowell
,,,,,,,,,503033.0,Master's
,,,,,,,,,503037.0,McGill (CAN)
,,,,,,,,,506510.0,McMaster (CAN)
,,,,,,,,,403.0,Medgar Evers
,,,,,,,,,405.0,Menlo
,,,,,,,,,407.0,Mercy
,,,,,,,,,409.0,Meredith
,,,,,,,,,411.0,Messiah
,,,,,,,,,413.0,MSU Denver
,,,,,,,,,506146.0,Miami-Hamilton
,,,,,,,,,503122.0,Miami-Middletown
,,,,,,,,,503130.0,Mich.-Dearborn
,,,,,,,,,503153.0,Mid-Amer. Christian
,,,,,,,,,506199.0,Mid-Atlantic Christ.
,,,,,,,,,506041.0,MidAmerica Naz.
,,,,,,,,,506486.0,Middle Ga. St.
,,,,,,,,,503175.0,Midway
,,,,,,,,,503195.0,Milligan
,,,,,,,,,20220.0,MSOE
,,,,,,,,,431.0,MUW
,,,,,,,,,2707.0,Kansas City
,,,,,,,,,436.0,Mo.-St. Louis
,,,,,,,,,30042.0,Mitchell
,,,,,,,,,503297.0,Mobile
,,,,,,,,,506431.0,Mohawk (CAN)
,,,,,,,,,437.0,Molloy
,,,,,,,,,205.0,Mont. St. Billings
,,,,,,,,,1238.0,Montevallo
,,,,,,,,,503331.0,Montreat
,,,,,,,,,503332.0,Moody Bible
,,,,,,,,,503365.0,Morris
,,,,,,,,,30036.0,Mount Aloysius
,,,,,,,,,449.0,Mount Holyoke
,,,,,,,,,503374.0,Mt. Marty
,,,,,,,,,30033.0,Mount Mary
,,,,,,,,,503377.0,Mt. Mercy
,,,,,,,,,1245.0,Mount Olive
,,,,,,,,,506455.0,Mt. Royal (CAN)
,,,,,,,,,451.0,CMSV
,,,,,,,,,1468.0,Mt. St. Mary (NY)
,,,,,,,,,450.0,Mount St. Mary's
,,,,,,,,,503405.0,Mt. Vernon Naz.
,,,,,,,,,503415.0,Multnomah
,,,,,,,,,506549.0,Manor
,,,,,,,,,506563.0,Navajo Tech
,,,,,,,,,461.0,Nazareth
,,,,,,,,,464.0,Omaha
,,,,,,,,,1254.0,Neumann
,,,,,,,,,467.0,New England Col.
,,,,,,,,,319.0,New Jersey City
,,,,,,,,,471.0,NJIT
,,,,,,,,,474.0,New Orleans
,,,,,,,,,475.0,SUNY New Paltz
,,,,,,,,,506480.0,New School
,,,,,,,,,477.0,New York Tech
,,,,,,,,,479.0,NYU
,,,,,,,,,30054.0,Newman
,,,,,,,,,482.0,Niagara
,,,,,,,,,506558.0,North American
,,,,,,,,,456.0,UNC Asheville
,,,,,,,,,460.0,UNCW
,,,,,,,,,459.0,UNC Greensboro
,,,,,,,,,30039.0,North Central (MN)
,,,,,,,,,2711.0,North Florida
,,,,,,,,,30052.0,North Georgia
,,,,,,,,,500.0,Northeastern
,,,,,,,,,506456.0,Northern B.C. (CAN)
,,,,,,,,,505.0,Northern Ky.
,,,,,,,,,506343.0,Northern N.M.
,,,,,,,,,1267.0,Northland
,,,,,,,,,503796.0,Northwest (WA)
,,,,,,,,,506481.0,Northwest Indian
,,,,,,,,,1274.0,Northwest Nazarene
,,,,,,,,,506330.0,Northwestern Ohio
,,,,,,,,,8600.0,Notre Dame (MD)
,,,,,,,,,24639.0,Nova Southeastern
,,,,,,,,,506568.0,New College (FL)
,,,,,,,,,506501.0,Oak Hills Christian
,,,,,,,,,506545.0,Oakland City
,,,,,,,,,514.0,Oakland
,,,,,,,,,506086.0,Oakwood
,,,,,,,,,2713.0,Oglethorpe
,,,,,,,,,506333.0,Ohio Christian
,,,,,,,,,503863.0,Ohio-Chillicothe
,,,,,,,,,503865.0,Ohio-Eastern
,,,,,,,,,506562.0,Okanagan Col. (CAN)
,,,,,,,,,30179.0,Okla. Christian
,,,,,,,,,503905.0,Oklahoma City
,,,,,,,,,506189.0,Okla. Wesleyan
,,,,,,,,,526.0,SUNY Oneonta
,,,,,,,,,527.0,Oral Roberts
,,,,,,,,,500078.0,Oregon Tech
,,,,,,,,,530.0,Oswego St.
,,,,,,,,,506513.0,Ottawa (AZ)
,,,,,,,,,503987.0,Our Lady of the Lake
,,,,,,,,,503990.0,Ozark Christian
,,,,,,,,,504000.0,Ozarks (MO)
,,,,,,,,,23008.0,Ozarks (AR)
,,,,,,,,,506554.0,Ohio Valley
,,,,,,,,,534.0,Pacific
,,,,,,,,,506090.0,Pacific Union
,,,,,,,,,506552.0,Paine
,,,,,,,,,30045.0,Palm Beach Atl.
,,,,,,,,,506544.0,Park (AZ)
,,,,,,,,,504050.0,Park (MO)
,,,,,,,,,506301.0,Patrick Henry
,,,,,,,,,504055.0,Paul Quinn
,,,,,,,,,506239.0,Paul Smiths
,,,,,,,,,30190.0,Penn College
,,,,,,,,,25719.0,Penn St.-Altoona
,,,,,,,,,538.0,Penn St.-Behrend
,,,,,,,,,30081.0,Penn St. Harrisburg
,,,,,,,,,506540.0,Penn St.-Shenango
,,,,,,,,,30044.0,Penn St.-Berks
,,,,,,,,,30114.0,Penn St.-Abington
,,,,,,,,,30189.0,Penn St Brandywine
,,,,,,,,,506277.0,Penn St.-Beaver
,,,,,,,,,504077.0,Penn St.-Brandywine
,,,,,,,,,506280.0,Penn St.-Du Bois
,,,,,,,,,506278.0,Penn St.-Fayette
,,,,,,,,,506261.0,Penn St.-Gr Allegheny
,,,,,,,,,506297.0,Penn St.-Hazleton
,,,,,,,,,506298.0,Penn St.-Lehigh Val.
,,,,,,,,,506331.0,Penn St.-Mont Alto
,,,,,,,,,506264.0,Penn St.-New Kens.
,,,,,,,,,506302.0,Penn St.-Schuylkill
,,,,,,,,,506324.0,Penn St.-Scranton
,,,,,,,,,506332.0,Penn St.-Wilkes Barre
,,,,,,,,,506370.0,Penn St-Worthington
,,,,,,,,,506326.0,Penn St.-York
,,,,,,,,,504062.0,Pensacola Christian
,,,,,,,,,541.0,Pepperdine
,,,,,,,,,506008.0,Peru St.
,,,,,,,,,542.0,Pfeiffer
,,,,,,,,,504115.0,Philander Smith
,,,,,,,,,21830.0,Piedmont
,,,,,,,,,1315.0,Pitt.-Bradford
,,,,,,,,,11839.0,Pitt.-Greensburg
,,,,,,,,,546.0,Pitt.-Johnstown
,,,,,,,,,547.0,Plattsburgh St.
,,,,,,,,,30149.0,Point Loma
,,,,,,,,,504175.0,Point Park
,,,,,,,,,506464.0,Polytechnic (P.R.)
,,,,,,,,,9500.0,SUNY Poly
,,,,,,,,,551.0,Portland
,,,,,,,,,504187.0,Portland Bible
,,,,,,,,,1318.0,Post
,,,,,,,,,552.0,SUNY Potsdam
,,,,,,,,,2715.0,Pratt
,,,,,,,,,555.0,Principia
,,,,,,,,,506169.0,Providence (MT)
,,,,,,,,,506493.0,Providence Christian
,,,,,,,,,556.0,Providence
,,,,,,,,,506307.0,Providence-Manitoba
,,,,,,,,,2682.0,P.R.-Bayamon
,,,,,,,,,24361.0,P.R.-Mayaguez
,,,,,,,,,2716.0,P.R.-Rio Piedras
,,,,,,,,,504226.0,P.R.-Arecibo
,,,,,,,,,506503.0,P.R.-Carolina
,,,,,,,,,506419.0,P.R.-Cayey
,,,,,,,,,506420.0,P.R.-Humacao
,,,,,,,,,504231.0,P.R.-Ponce
,,,,,,,,,30029.0,Purchase
,,,,,,,,,308.0,Purdue Fort Wayne
,,,,,,,,,30222.0,Purdue Northwest
,,,,,,,,,560.0,Queens (NY)
,,,,,,,,,11504.0,Queens (NC)
,,,,,,,,,562.0,Quinnipiac
,,,,,,,,,563.0,Radford
,,,,,,,,,564.0,Ramapo
,,,,,,,,,502132.0,Randall
,,,,,,,,,566.0,Randolph
,,,,,,,,,506514.0,Regent
,,,,,,,,,506457.0,Regina (CAN)
,,,,,,,,,569.0,Regis (MA)
,,,,,,,,,568.0,Regis (CO)
,,,,,,,,,571.0,Rhode Island Col.
,,,,,,,,,576.0,Rider
,,,,,,,,,504350.0,Rio Grande
,,,,,,,,,18422.0,Rivier
,,,,,,,,,578.0,Roanoke
,,,,,,,,,30150.0,Roberts Wesleyan
,,,,,,,,,580.0,RIT
,,,,,,,,,1328.0,Rockhurst
,,,,,,,,,583.0,Roger Williams
,,,,,,,,,30180.0,Rogers St.
,,,,,,,,,584.0,Rollins
,,,,,,,,,2807.0,Roosevelt
,,,,,,,,,506377.0,Roosevelt-Peoria
,,,,,,,,,15882.0,Rosemont
,,,,,,,,,11036.0,Russell Sage
,,,,,,,,,506512.0,Rust
,,,,,,,,,588.0,Rutgers-Camden
,,,,,,,,,589.0,Rutgers-Newark
,,,,,,,,,506559.0,Redeemer Ancas. (CAN)
,,,,,,,,,503129.0,Rochester Univ. (MI)
,,,,,,,,,504446.0,Sacred Heart (PR)
,,,,,,,,,500153.0,SAGU American Indian
,,,,,,,,,595.0,Saint Benedict
,,,,,,,,,9684.0,Saint Elizabeth
,,,,,,,,,8687.0,Saint Joseph (CT)
,,,,,,,,,605.0,St. Joseph's (ME)
,,,,,,,,,506468.0,St. Katherine
,,,,,,,,,504607.0,St. Mary (NE)
,,,,,,,,,504592.0,St. Mary-Woods
,,,,,,,,,506474.0,St. Thomas (CAN)
,,,,,,,,,504653.0,St. Thomas (FL)
,,,,,,,,,506499.0,SAIT Poly (CAN)
,,,,,,,,,30041.0,Salem (NC)
,,,,,,,,,621.0,Salem St.
,,,,,,,,,19117.0,Salem (WV)
,,,,,,,,,502122.0,San Diego Christian
,,,,,,,,,629.0,San Francisco
,,,,,,,,,628.0,San Fran. St.
,,,,,,,,,631.0,Santa Clara
,,,,,,,,,30163.0,Sarah Lawrence
,,,,,,,,,506458.0,Saskatchewan (CAN)
,,,,,,,,,506483.0,SCAD Atlanta
,,,,,,,,,506402.0,SCAD Savannah
,,,,,,,,,1355.0,Schreiner
,,,,,,,,,506082.0,Science & Arts Okla.
,,,,,,,,,633.0,Scranton
,,,,,,,,,634.0,Seattle Pacific
,,,,,,,,,1356.0,Seattle U
,,,,,,,,,635.0,Seton Hall
,,,,,,,,,504767.0,Shawnee St.
,,,,,,,,,506099.0,Sheridan (CAN)
,,,,,,,,,639.0,Siena
,,,,,,,,,506497.0,Sierra Nevada
,,,,,,,,,506511.0,Simmons (KY)
,,,,,,,,,640.0,Simmons
,,,,,,,,,504809.0,Simpson (CA)
,,,,,,,,,642.0,Skidmore
,,,,,,,,,644.0,Smith
,,,,,,,,,506364.0,Soka
,,,,,,,,,645.0,Sonoma St.
,,,,,,,,,11276.0,USC Aiken
,,,,,,,,,10411.0,USC Upstate
,,,,,,,,,504906.0,Southeastern Bapt.
,,,,,,,,,660.0,SIUE
,,,,,,,,,661.0,Southern Ind.
,,,,,,,,,662.0,Southern Me.
,,,,,,,,,468.0,Southern N.H.
,,,,,,,,,30192.0,Southern Wesleyan
,,,,,,,,,504980.0,Southern-N.O.
,,,,,,,,,506012.0,Southwest (NM)
,,,,,,,,,505028.0,S'western Adventist
,,,,,,,,,506285.0,Southwestern Christ.
,,,,,,,,,23260.0,Spalding
,,,,,,,,,505040.0,Spring Arbor
,,,,,,,,,30191.0,Spring Hill
,,,,,,,,,506548.0,Spurgeon
,,,,,,,,,596.0,St. Bonaventure
,,,,,,,,,597.0,St. Catherine
,,,,,,,,,1334.0,St. Edward's
,,,,,,,,,603.0,St. John's (NY)
,,,,,,,,,30072.0,St. Joseph's (Brkln)
,,,,,,,,,606.0,Saint Joseph's
,,,,,,,,,1340.0,St. Joseph's (L.I.)
,,,,,,,,,608.0,Saint Leo
,,,,,,,,,609.0,Saint Louis
,,,,,,,,,1343.0,Saint Martin's
,,,,,,,,,612.0,Saint Mary's (MN)
,,,,,,,,,1346.0,St. Mary's (TX)
,,,,,,,,,610.0,Saint Mary's (CA)
,,,,,,,,,8688.0,St. Mary's (IN)
,,,,,,,,,611.0,St. Mary's (MD)
,,,,,,,,,613.0,Saint Michael's
,,,,,,,,,617.0,Saint Peter's
,,,,,,,,,1347.0,Saint Rose
,,,,,,,,,2810.0,St. Thomas (TX)
,,,,,,,,,1348.0,St. Thomas Aquinas
,,,,,,,,,506567.0,Stanton
,,,,,,,,,675.0,Staten Island
,,,,,,,,,506407.0,Stephens College
,,,,,,,,,679.0,Stevens
,,,,,,,,,506508.0,Stillman
,,,,,,,,,681.0,Stockton
,,,,,,,,,684.0,Suffolk
,,,,,,,,,524.0,Old Westbury
,,,,,,,,,506380.0,SUNY ESF
,,,,,,,,,686.0,Swarthmore
,,,,,,,,,687.0,Sweet Briar
,,,,,,,,,505160.0,Talladega
,,,,,,,,,689.0,Tampa
,,,,,,,,,506546.0,TAMU-San Antonio
,,,,,,,,,506394.0,TBA
,,,,,,,,,502981.0,Tenn. Southern
,,,,,,,,,505220.0,Tenn. Wesleyan
,,,,,,,,,30090.0,Tex. A&M Int'l
,,,,,,,,,26172.0,A&M-Corpus Christi
,,,,,,,,,506487.0,Tex. A&M-Texarkana
,,,,,,,,,702.0,UT Arlington
,,,,,,,,,536.0,UTRGV
,,,,,,,,,506403.0,Texas Wesleyan
,,,,,,,,,701.0,Texas Woman's
,,,,,,,,,23121.0,Texas-Dallas
,,,,,,,,,506315.0,Thomas (GA)
,,,,,,,,,2758.0,Thomas (ME)
,,,,,,,,,543.0,Jefferson
,,,,,,,,,506433.0,Thompson Rivers (CN)
,,,,,,,,,506224.0,To Be Announced
,,,,,,,,,505303.0,Toccoa Falls
,,,,,,,,,506362.0,Toronto (CAN)
,,,,,,,,,505310.0,Tougaloo
,,,,,,,,,28749.0,Transylvania
,,,,,,,,,30002.0,Trevecca Nazarene
,,,,,,,,,505352.0,Trinity (FL)
,,,,,,,,,505332.0,Trinity Baptist
,,,,,,,,,505334.0,Trinity Bible (ND)
,,,,,,,,,505350.0,Trinity Christian
,,,,,,,,,23413.0,Trinity Washington
,,,,,,,,,506459.0,Trinity Western (CN)
,,,,,,,,,506361.0,Truett-McConnell
,,,,,,,,,505378.0,Turabo
,,,,,,,,,506432.0,Toronto Metro (CAN)
,,,,,,,,,504578.0,UHSP
,,,,,,,,,505398.0,Union (NE)
,,,,,,,,,30153.0,Union (TN)
,,,,,,,,,505410.0,Unity
,,,,,,,,,506176.0,UC Clermont
,,,,,,,,,506547.0,UNT Dallas
,,,,,,,,,30140.0,Ursuline
,,,,,,,,,30259.0,USC Beaufort
,,,,,,,,,30024.0,Utah Valley
,,,,,,,,,30166.0,Valley Forge
,,,,,,,,,506434.0,Vancouver Island
,,,,,,,,,30263.0,Vanguard
,,,,,,,,,737.0,Vassar
,,,,,,,,,506348.0,Vaughn
,,,,,,,,,738.0,Vermont
,,,,,,,,,324.0,VTSU-Johnson
,,,,,,,,,30065.0,VTSU Lyndon
,,,,,,,,,506436.0,Victoria (CAN)
,,,,,,,,,505489.0,Villa Maria
,,,,,,,,,506190.0,Virgin Islands
,,,,,,,,,740.0,VCU
,,,,,,,,,745.0,Va. Wesleyan
,,,,,,,,,505533.0,Viterbo
,,,,,,,,,505535.0,Voorhees
,,,,,,,,,505487.0,VTSU Randolph
,,,,,,,,,506100.0,Walla Walla
,,,,,,,,,505560.0,Warner Pacific
,,,,,,,,,30236.0,Warren Wilson
,,,,,,,,,506471.0,Washington Adventist
,,,,,,,,,753.0,Washington Col.
,,,,,,,,,506177.0,Waterloo (CAN)
,,,,,,,,,505630.0,Webb Inst.
,,,,,,,,,759.0,Webster
,,,,,,,,,506469.0,Welch
,,,,,,,,,760.0,Wellesley
,,,,,,,,,761.0,Wells
,,,,,,,,,762.0,Wentworth
,,,,,,,,,14718.0,Wesleyan (GA)
,,,,,,,,,506319.0,West Coast Baptist
,,,,,,,,,506393.0,West Va. Tech
,,,,,,,,,506536.0,Westcliff
,,,,,,,,,506443.0,Western Univ. (CAN)
,,,,,,,,,1448.0,Western Wash.
,,,,,,,,,30209.0,Westminster (UT)
,,,,,,,,,30260.0,Westmont
,,,,,,,,,779.0,Wheaton (MA)
,,,,,,,,,12799.0,Wheeling
,,,,,,,,,780.0,Whitman
,,,,,,,,,782.0,Wichita St.
,,,,,,,,,505825.0,Wilberforce
,,,,,,,,,500077.0,Wiley
,,,,,,,,,505850.0,William Carey
,,,,,,,,,17094.0,William Peace
,,,,,,,,,30073.0,William Smith
,,,,,,,,,506076.0,William Woods
,,,,,,,,,505872.0,Williams Baptist
,,,,,,,,,1460.0,Wilmington (DE)
,,,,,,,,,12973.0,Wilson
,,,,,,,,,506389.0,Windsor (CAN)
,,,,,,,,,506425.0,Winnipeg (CAN)
,,,,,,,,,792.0,Winthrop
,,,,,,,,,794.0,Green Bay
,,,,,,,,,797.0,Milwaukee
,,,,,,,,,799.0,Wis.-Parkside
,,,,,,,,,804.0,Wis.-Superior
,,,,,,,,,506325.0,Wright St.-Lake
,,,,,,,,,810.0,Wright St.
,,,,,,,,,506000.0,Xavier (LA)
,,,,,,,,,812.0,Xavier
,,,,,,,,,814.0,Yeshiva
,,,,,,,,,506494.0,York (CAN)
,,,,,,,,,500575.0,York (NE)
,,,,,,,,,815.0,York (PA)
,,,,,,,,,2730.0,York (NY)
,,,,,,,,,30154.0,Young Harris
